date,AAPL,MSFT,TSLA
2023-05-15,170.00634765625,302.9908752441406,166.35000610351562
2023-05-16,170.00634765625,305.2232666015625,166.52000427246094
2023-05-17,170.61891174316406,308.1081237792969,173.86000061035156
2023-05-18,172.9506072998047,312.54327392578125,176.88999938964844
2023-05-19,173.05929565429688,312.3666076660156,180.13999938964844
2023-05-22,172.11077880859375,315.1533203125,188.8699951171875
2023-05-23,169.50244140625,309.34442138671875,185.77000427246094
2023-05-24,169.77911376953125,307.9609069824219,182.89999389648438
2023-05-25,170.91531372070312,319.804443359375,184.47000122070312
2023-05-26,173.32603454589844,326.64361572265625,193.1699981689453
2023-05-30,175.1736297607422,324.9951477050781,201.16000366210938
2023-05-31,175.12420654296875,322.2280578613281,203.92999267578125
2023-06-01,177.93014526367188,326.33941650390625,207.52000427246094
2023-06-02,178.77980041503906,329.10650634765625,213.97000122070312
2023-06-05,177.42625427246094,329.6363830566406,217.61000061035156
2023-06-06,177.0607147216797,327.41876220703125,221.30999755859375
2023-06-07,175.68739318847656,317.31207275390625,224.57000732421875
2023-06-08,178.40440368652344,319.1567687988281,234.86000061035156
2023-06-09,178.78973388671875,320.65814208984375,244.39999389648438
2023-06-12,181.5857696533203,325.6231994628906,249.8300018310547
2023-06-13,181.11155700683594,328.0173034667969,258.7099914550781
2023-06-14,181.7438507080078,331.0101013183594,256.7900085449219
2023-06-15,183.77914428710938,341.5682373046875,255.89999389648438
2023-06-16,182.70220947265625,335.9065246582031,260.5400085449219
2023-06-20,182.79115295410156,331.7068176269531,274.45001220703125
2023-06-21,181.7537384033203,327.301025390625,259.4599914550781
2023-06-22,184.7572479248047,333.33563232421875,264.6099853515625
2023-06-23,184.44110107421875,328.7336730957031,256.6000061035156
2023-06-26,183.04800415039062,322.4341735839844,241.0500030517578
2023-06-27,185.80455017089844,328.2921142578125,250.2100067138672
2023-06-28,186.98031616210938,329.548095703125,256.239990234375
2023-06-29,187.31617736816406,328.76312255859375,257.5
2023-06-30,191.6436767578125,334.1501159667969,261.7699890136719
