date,AAPL,MSFT,TSLA
2023-01-03,123.21121215820312,233.98562622070312,108.0999984741211
2023-01-04,124.48204040527344,223.75038146972656,113.63999938964844
2023-01-05,123.16194915771484,217.11888122558594,110.33999633789062
2023-01-06,127.6935806274414,219.67771911621094,113.05999755859375
2023-01-09,128.21571350097656,221.8165740966797,119.7699966430664
2023-01-10,128.78707885742188,223.50619506835938,118.8499984741211
2023-01-11,131.50607299804688,230.26458740234375,123.22000122070312
2023-01-12,131.42726135253906,232.94061279296875,123.55999755859375
2023-01-13,132.75718688964844,233.64381408691406,122.4000015258789
2023-01-17,133.91966247558594,234.73765563964844,131.49000549316406
2023-01-18,133.20050048828125,230.30368041992188,128.77999877929688
2023-01-19,133.25962829589844,226.51429748535156,127.16999816894531
2023-01-20,135.82095336914062,234.61068725585938,133.4199981689453
2023-01-23,139.01283264160156,236.91558837890625,143.75
2023-01-24,140.41172790527344,236.38821411132812,143.88999938964844
2023-01-25,139.75164794921875,234.99159240722656,144.42999267578125
2023-01-26,141.8204803466797,242.2090301513672,160.27000427246094
2023-01-27,143.76116943359375,242.36529541015625,177.89999389648438
2023-01-30,140.87474060058594,237.04258728027344,166.66000366210938
2023-01-31,142.14552307128906,242.02346801757812,173.22000122070312
2023-02-01,143.26858520507812,246.84811401367188,181.41000366210938
2023-02-02,148.5785369873047,258.42144775390625,188.27000427246094
2023-02-03,152.20379638671875,252.31739807128906,189.97999572753906
2023-02-06,149.47496032714844,250.77423095703125,194.75999450683594
2023-02-07,152.3516082763672,261.31231689453125,196.80999755859375
2023-02-08,149.6621551513672,260.50164794921875,201.2899932861328
2023-02-09,148.6277618408203,257.46429443359375,207.32000732421875
2023-02-10,148.9927978515625,256.9564514160156,196.88999938964844
2023-02-13,151.7948760986328,264.9845275878906,194.63999938964844
2023-02-14,151.15359497070312,265.814697265625,209.25
2023-02-15,153.25515747070312,263.6899719238281,214.24000549316406
2023-02-16,151.6567840576172,256.6698913574219,202.0399932861328
2023-02-17,150.5122528076172,252.66542053222656,208.30999755859375
2023-02-21,146.49661254882812,247.38807678222656,197.3699951171875
2023-02-22,146.92088317871094,246.2523193359375,200.86000061035156
2023-02-23,147.4043426513672,249.44418334960938,202.07000732421875
2023-02-24,144.75027465820312,244.0102081298828,196.8800048828125
2023-02-27,145.94410705566406,244.93052673339844,207.6300048828125
2023-02-28,145.44093322753906,244.2060089111328,205.7100067138672
2023-03-01,143.3689727783203,241.1219024658203,202.77000427246094
2023-03-02,143.96095275878906,245.8606719970703,190.89999389648438
2023-03-03,149.01255798339844,249.95327758789062,197.7899932861328
2023-03-06,151.77517700195312,251.50025939941406,193.80999755859375
2023-03-07,149.574951171875,248.83712768554688,187.7100067138672
2023-03-08,150.8280029296875,248.39654541015625,182.0
2023-03-09,148.5784454345703,247.04542541503906,172.9199981689453
2023-03-10,146.516357421875,243.39337158203125,173.44000244140625
2023-03-13,148.4600372314453,248.61195373535156,174.47999572753906
2023-03-14,150.5517120361328,255.3383331298828,183.25999450683594
2023-03-15,150.94638061523438,259.8910827636719,180.4499969482422
2023-03-16,153.76817321777344,270.42620849609375,184.1300048828125
2023-03-17,152.9295196533203,273.5886535644531,180.1300048828125
2023-03-20,155.29745483398438,266.5391540527344,183.25
2023-03-21,157.15234375,268.0567626953125,197.5800018310547
2023-03-22,155.72174072265625,266.597900390625,191.14999389648438
2023-03-23,156.80702209472656,271.855712890625,192.22000122070312
2023-03-24,158.10939025878906,274.7048034667969,190.41000366210938
2023-03-27,156.16571044921875,270.6024475097656,191.80999755859375
2023-03-28,155.54412841796875,269.4764709472656,189.19000244140625
2023-03-29,158.6224822998047,274.6460876464844,193.8800048828125
2023-03-30,160.19119262695312,278.11212158203125,195.27999877929688
2023-03-31,162.69729614257812,282.2732238769531,207.4600067138672
2023-04-03,163.95030212402344,281.2255859375,194.77000427246094
2023-04-04,163.4175262451172,281.1766662597656,192.5800018310547
2023-04-05,161.57252502441406,278.3959655761719,185.52000427246094
2023-04-06,162.4604949951172,285.5042724609375,185.05999755859375
2023-04-10,159.86561584472656,283.3404541015625,184.50999450683594
2023-04-11,158.65203857421875,276.9176330566406,186.7899932861328
2023-04-12,157.96141052246094,277.5638122558594,180.5399932861328
2023-04-13,163.34844970703125,283.78106689453125,185.89999389648438
2023-04-14,163.00315856933594,280.1583557128906,185.0
2023-04-17,163.02288818359375,282.7627868652344,187.0399932861328
2023-04-18,164.246337890625,282.341796875,184.30999755859375
2023-04-19,165.39083862304688,282.4200744628906,180.58999633789062
2023-04-20,164.4239044189453,280.12896728515625,162.99000549316406
2023-04-21,162.81568908691406,279.7863464355469,165.0800018310547
2023-04-24,163.12155151367188,275.8797302246094,162.5500030517578
2023-04-25,161.5823974609375,269.6625061035156,160.6699981689453
2023-04-26,161.57252502441406,289.1954650878906,153.75
2023-04-27,166.160400390625,298.4576721191406,160.19000244140625
2023-04-28,167.41342163085938,300.8369140625,164.30999755859375
2023-05-01,167.3246307373047,299.17242431640625,161.8300018310547
2023-05-02,166.2886505126953,299.0255432128906,160.30999755859375
2023-05-03,165.2132110595703,298.03668212890625,160.61000061035156
2023-05-04,163.57540893554688,299.0255432128906,161.1999969482422
2023-05-05,171.25149536132812,304.1559753417969,170.05999755859375
2023-05-08,171.1824188232422,302.1978454589844,171.7899932861328
2023-05-09,169.47552490234375,300.582275390625,169.14999389648438
2023-05-10,171.2415771484375,305.78131103515625,168.5399932861328
2023-05-11,171.42906188964844,303.6272888183594,172.0800018310547
2023-05-12,170.50035095214844,302.51116943359375,167.97999572753906
